City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,shingu,33.7333,135.9833,50.97,74,2,5.19,JP,2023-03-31 20:50:42
136,imeni zhelyabova,58.9544,36.5956,22.89,95,53,1.92,RU,2023-03-31 20:50:42
137,kaitangata,-46.2817,169.8464,50.94,98,100,2.04,NZ,2023-03-31 20:42:25
138,pacifica,37.6138,-122.4869,62.4,63,75,9.22,US,2023-03-31 20:42:54
139,vestmannaeyjar,63.4427,-20.2734,38.79,95,100,19.19,IS,2023-03-31 20:42:47
140,cabedelo,-6.9811,-34.8339,83.07,74,6,8.43,BR,2023-03-31 20:50:43
141,saldanha,-33.0117,17.9442,62.2,87,5,14.65,ZA,2023-03-31 20:42:33
142,port elizabeth,-33.918,25.5701,60.31,86,0,3.44,ZA,2023-03-31 20:41:56
143,tuatapere,-46.1333,167.6833,54.34,84,97,4.7,NZ,2023-03-31 20:41:56
144,norman wells,65.282,-126.8329,15.84,62,100,23.02,CA,2023-03-31 20:39:04
145,mahebourg,-20.4081,57.7,80.26,89,75,10.36,MU,2023-03-31 20:42:12
146,matara,5.9485,80.5353,77.67,88,23,2.8,LK,2023-03-31 20:49:06
147,yiyang,28.5892,112.3283,61.09,79,87,4.52,CN,2023-03-31 20:50:43
148,akita,39.7167,140.1167,44.42,75,0,3.31,JP,2023-03-31 20:45:48
149,tommot,58.9564,126.2925,25.59,96,100,5.91,RU,2023-03-31 20:41:58
150,codrington,-38.2667,141.9667,54.09,70,100,11.48,AU,2023-03-31 20:41:59
151,butaritari,3.0707,172.7902,80.96,79,100,6.87,KI,2023-03-31 20:41:56
152,tasiilaq,65.6145,-37.6368,30.36,78,100,7.0,GL,2023-03-31 20:41:55
153,vaitape,-16.5167,-151.75,82.6,70,100,6.76,PF,2023-03-31 20:50:43
154,lebu,-37.6167,-73.65,59.77,60,3,9.73,CL,2023-03-31 20:41:57
155,vila velha,-20.3297,-40.2925,84.15,65,0,18.41,BR,2023-03-31 20:42:42
156,dinghai,26.2847,119.7936,58.12,92,75,4.54,CN,2023-03-31 20:50:43
157,fortuna,40.5982,-124.1573,56.35,56,100,12.01,US,2023-03-31 20:42:16
158,laredo,27.5064,-99.5075,89.89,45,0,12.66,US,2023-03-31 20:50:43
159,alcudia,39.8532,3.1214,68.2,68,100,5.59,ES,2023-03-31 20:50:43
160,kirakira,-10.4544,161.9205,80.94,80,46,3.69,SB,2023-03-31 20:47:24
161,provideniya,64.3833,-173.3,15.76,81,32,5.39,RU,2023-03-31 20:41:57
162,ormara,25.2088,64.6357,76.5,70,0,14.58,PK,2023-03-31 20:50:44
163,geraldton,-28.7667,114.6,64.81,88,0,4.61,AU,2023-03-31 20:42:07
164,kodiak,57.79,-152.4072,35.11,55,0,34.52,US,2023-03-31 20:42:14
165,makakilo city,21.3469,-158.0858,80.92,75,75,11.5,US,2023-03-31 20:42:52
166,dalvik,65.9702,-18.5286,40.93,96,100,10.51,IS,2023-03-31 20:50:44
167,nicolas bravo,18.45,-88.9167,90.0,34,0,10.07,MX,2023-03-31 20:46:45
168,mansehra,34.3333,73.2,52.66,93,100,3.22,PK,2023-03-31 20:50:44
169,ust-ishim,57.6935,71.1665,22.03,88,35,7.61,RU,2023-03-31 20:50:44
170,miri,4.4148,114.0089,75.34,94,20,2.3,MY,2023-03-31 20:50:44
171,daru,-9.0763,143.2092,78.98,87,99,5.53,PG,2023-03-31 20:42:38
172,tura,25.5198,90.2201,64.54,81,93,0.76,IN,2023-03-31 20:41:56
173,tanout,14.9709,8.8879,77.43,13,67,12.06,NE,2023-03-31 20:50:44
174,tromso,69.6496,18.957,30.22,80,75,8.05,NO,2023-03-31 20:50:44
175,mildura,-34.2,142.15,51.08,79,0,12.66,AU,2023-03-31 20:42:37
176,touros,-5.1989,-35.4608,79.2,75,64,10.78,BR,2023-03-31 20:41:54
177,melilla,35.2937,-2.9383,73.78,35,0,14.97,ES,2023-03-31 20:50:44
178,buala,-8.145,159.5921,81.52,78,51,3.2,SB,2023-03-31 20:42:21
179,plettenberg bay,-34.0527,23.3716,58.84,80,0,2.68,ZA,2023-03-31 20:42:02
180,sitka,57.0531,-135.33,44.49,57,100,11.5,US,2023-03-31 20:42:05
